Year,Month,Date,Tm,Pm,TmA,PmA,P
1981,6,1981/6/01,14.3,57.8,2.643,-17.953,0
1981,7,1981/7/01,15.3,27.2,-0.833,2.757,1
1981,8,1981/8/01,16.3,53.9,0.693,24.35,1
1981,9,1981/9/01,12.8,85.3,1.027,-6.36,0
1981,10,1981/10/01,7.5,20.1,0.813,-134.333,0
1981,11,1981/11/01,6.6,1.5,4.337,-178.717,0
1981,12,1981/12/01,0,377.7,0.497,224.06,1
1982,1,1982/1/01,0.5,86,1.355,-63.574,0
1982,2,1982/2/01,0.3,111.8,1.3,-24.44,0
1982,3,1982/3/01,1,31,0.197,-111.317,0
1982,4,1982/4/01,4.4,66.5,1.41,-61.87,0
1982,5,1982/5/01,8.2,167.7,1.26,39.153,1
1982,6,1982/6/01,12.4,64,0.743,-11.753,0
1982,7,1982/7/01,16,55,-0.133,30.557,1
1982,8,1982/8/01,16.1,6.5,0.493,-23.05,0
1982,9,1982/9/01,11.8,98.8,0.027,7.14,1
1982,10,1982/10/01,5.3,96,-1.387,-58.433,0
1982,11,1982/11/01,2,268.2,-0.263,87.983,1
1982,12,1982/12/01,-0.7,118,-0.203,-35.64,0
1983,1,1983/1/01,3.6,10.6,4.455,-138.974,0
1983,2,1983/2/01,-2.5,43.7,-1.5,-92.54,0
1983,3,1983/3/01,3.6,29.3,2.797,-113.017,0
1983,4,1983/4/01,1.2,230.2,-1.79,101.83,1
1983,5,1983/5/01,3.8,104.7,-3.14,-23.847,0
1983,6,1983/6/01,13.6,43.5,1.943,-32.253,0
1983,7,1983/7/01,16,11.5,-0.133,-12.943,0
1983,8,1983/8/01,13.3,76.5,-2.307,46.95,1
1983,9,1983/9/01,15,16.6,3.227,-75.06,0
1983,10,1983/10/01,9.3,34.2,2.613,-120.233,0
1983,11,1983/11/01,5.1,262.7,2.837,82.483,1
1983,12,1983/12/01,2.7,110.5,3.197,-43.14,0
1984,1,1984/1/01,-1.2,243.3,-0.345,93.726,1
1984,2,1984/2/01,-1.7,88,-0.7,-48.24,0
1984,3,1984/3/01,-1.6,136.4,-2.403,-5.917,0
1984,4,1984/4/01,6.2,131.6,3.21,3.23,1
1984,5,1984/5/01,1,248.2,-5.94,119.653,1
1984,6,1984/6/01,10.9,106.3,-0.757,30.547,1
1984,7,1984/7/01,18,2,1.867,-22.443,0
